Wall time,Step,Value
1748887511.9321423,28700,1.0
1748887524.733728,28800,1.0
1748887577.3524268,29200,1.0
1748887616.5933187,29500,1.0
1748887643.2422948,29700,1.0
1748887669.5578294,29900,1.0
1748887790.5613449,30000,1.0
1748887816.1085212,30200,1.0
1748887919.4995248,31000,1.0
1748887945.842693,31200,1.0
1748887960.3836684,31300,1.0
1748887974.8355927,31400,1.0
1748888000.9476283,31600,1.0
1748888040.7819378,31900,1.0
1748891090.0505698,32800,1.0
1748891116.9420037,33000,1.0
1748891129.7573595,33100,1.0
1748891168.8647532,33400,1.0
1748891182.4872713,33500,1.0
1748891223.3730443,33800,1.0
1748891237.1066628,33900,1.0
1748891251.244368,34000,1.0
1748891264.9824195,34100,1.0
1748891278.7406955,34200,1.0
1748891305.7803507,34400,1.0
1748891318.759261,34500,1.0
1748891346.1468337,34700,1.0
1748891359.863816,34800,1.0
1748894372.8503718,35000,1.0
1748894454.841954,35600,1.0
1748894468.378415,35700,1.0
1748894494.5662506,35900,1.0
1748894507.3899193,36000,1.0
1748894534.1094654,36200,1.0
1748894561.574562,36400,1.0
1748894587.8023002,36600,1.0
1748894601.1605222,36700,1.0
1748894614.857543,36800,1.0
1748894628.4426632,36900,1.0
1748894654.985946,37100,1.0
1748897773.4148672,37500,1.0
1748897827.18217,37900,1.0
1748897841.3060973,38000,1.0
1748897868.171741,38200,1.0
1748897881.3438077,38300,1.0
1748897895.3105123,38400,1.0
1748897909.2952948,38500,1.0
1748897922.9629736,38600,1.0
1748898076.7518308,39700,1.0
1748901214.476831,40000,1.0
1748901228.4216905,40100,1.0
1748901242.1152947,40200,1.0
1748901268.3989213,40400,1.0
1748901281.5125363,40500,1.0
1748901295.1682565,40600,1.0
1748901335.4496098,40900,1.0
1748901361.779376,41100,1.0
1748901415.4059696,41500,1.0
1748901455.142288,41800,1.0
1748901537.0975614,42400,1.0
1748904609.798403,42500,1.0
1748904623.8952875,42600,1.0
1748904664.8479347,42900,1.0
1748904691.8841233,43100,1.0
1748904719.4307137,43300,1.0
1748904732.4164398,43400,1.0
1748904788.810722,43800,1.0
1748904815.2875888,44000,1.0
1748904856.4983842,44300,1.0
1748904870.2472675,44400,1.0
1748904897.7517684,44600,1.0
1748904911.5487502,44700,1.0
1748908068.4139545,45200,1.0
1748908109.4658275,45500,1.0
1748908123.1548262,45600,1.0
1748908176.4790857,46000,1.0
1748908244.8121614,46500,1.0
1748908257.922634,46600,1.0
1748908271.619759,46700,1.0
1748908326.233535,47100,1.0
1748908339.5710573,47200,1.0
1748908353.5415537,47300,1.0
1748911495.2500882,47700,1.0
1748911509.0352616,47800,1.0
1748911549.2690823,48100,1.0
1748911562.5504684,48200,1.0
1748911576.2537549,48300,1.0
1748911617.7422738,48600,1.0
1748911631.031032,48700,1.0
1748911645.8606243,48800,1.0
1748911713.5713,49300,1.0
1748911754.5262384,49600,1.0
1748911796.4238167,49900,1.0
1748914910.5627027,50000,1.0
1748914951.7082984,50300,1.0
1748914966.5968149,50400,1.0
1748914994.4068763,50600,1.0
1748915035.8469245,50900,1.0
1748915077.5872428,51200,1.0
1748915090.650244,51300,1.0
1748915104.2078156,51400,1.0
1748915145.4560099,51700,1.0
1748915158.5599911,51800,1.0
1748915171.583793,51900,1.0
1748915185.2787356,52000,1.0
1748915213.2505388,52200,1.0
1748915226.6666658,52300,1.0
1748915239.8662736,52400,1.0
1748918353.361519,52500,1.0
1748918421.8910663,53000,1.0
1748918435.0293236,53100,1.0
1748918476.9301958,53400,1.0
1748918504.9855206,53600,1.0
1748918547.3885503,53900,1.0
1748918574.6227598,54100,1.0
1748918602.7464027,54300,1.0
1748918673.387499,54800,1.0
1748918686.700017,54900,1.0
1748921798.5854087,55000,1.0
1748921812.9884524,55100,1.0
1748921826.4954188,55200,1.0
1748921840.1380157,55300,1.0
1748921923.0583365,55900,1.0
1748921963.042742,56200,1.0
1748921976.430922,56300,1.0
1748922018.0028517,56600,1.0
1748922085.870807,57100,1.0
1748922112.5005457,57300,1.0
1748925279.9585986,57600,1.0
1748925293.2696707,57700,1.0
1748925321.7797782,57900,1.0
1748925335.9133635,58000,1.0
1748925421.9772763,58600,1.0
1748925448.532468,58800,1.0
1748925503.1637352,59200,1.0
1748925572.4432938,59700,1.0
1748928744.3634245,60200,1.0
1748928787.9352582,60500,1.0
1748928816.9868774,60700,1.0
1748928873.939135,61100,1.0
1748928916.4105055,61400,1.0
1748928930.0534308,61500,1.0
1748929022.6939726,62200,1.0
1748932202.6108081,62700,1.0
1748932216.6734486,62800,1.0
1748932309.9623759,63500,1.0
1748932337.3760128,63700,1.0
1748932419.8516495,64300,1.0
1748932433.499208,64400,1.0
1748932501.1285794,64900,1.0
1748935652.4436264,65100,1.0
1748935694.3082347,65400,1.0
1748935708.2378387,65500,1.0
1748935737.782563,65700,1.0
1748935767.895039,65900,1.0
1748935782.1759188,66000,1.0
1748935810.202827,66200,1.0
1748935824.4480746,66300,1.0
1748935838.1782582,66400,1.0
1748935866.276237,66600,1.0
1748935895.446945,66800,1.0
1748935923.8643067,67000,1.0
1748935937.9415185,67100,1.0
1748939180.2920244,67900,1.0
1748939222.0618706,68200,1.0
1748939249.5176208,68400,1.0
1748939263.9994798,68500,1.0
1748939318.3618808,68900,1.0
1748939332.1413274,69000,1.0
1748939345.5960453,69100,1.0
1748939399.0542786,69500,1.0
1748939413.0823736,69600,1.0
1748942583.2497542,70000,1.0
1748942638.2391956,70400,1.0
1748942652.1018252,70500,1.0
1748942679.9301908,70700,1.0
1748942778.719093,71400,1.0
1748942820.7181687,71700,1.0
1748942876.2860317,72100,1.0
1748942903.058526,72300,1.0
1748942916.2614286,72400,1.0
1748946057.3093953,72500,1.0
1748946071.4719625,72600,1.0
1748946085.6406062,72700,1.0
1748946183.3377657,73400,1.0
1748946226.1891553,73700,1.0
1748946269.4033346,74000,1.0
1748946297.5671618,74200,1.0
1748946324.6419816,74400,1.0
1748946338.2760053,74500,1.0
1748949562.6311514,75100,1.0
1748949605.115631,75400,1.0
1748949633.3455193,75600,1.0
1748949662.1501207,75800,1.0
1748949690.6895783,76000,1.0
1748949719.4112194,76200,1.0
1748949792.0408635,76700,1.0
1748949806.2259839,76800,1.0
1748949833.8348815,77000,1.0
1748949860.6787531,77200,1.0
1748953089.4192898,77700,1.0
1748953158.517457,78200,1.0
1748953254.2056892,78900,1.0
1748953267.5430825,79000,1.0
1748953308.938352,79300,1.0
1748953377.4134643,79800,1.0
1748953391.5225387,79900,1.0
1748956683.874208,80900,1.0
1748956698.5620403,81000,1.0
1748956755.9721775,81400,1.0
1748956770.7913547,81500,1.0
1748956827.4176328,81900,1.0
1748956854.2509427,82100,1.0
1748960089.4565222,82600,1.0
1748960103.2599964,82700,1.0
1748960117.696942,82800,1.0
1748960131.9594936,82900,1.0
1748960158.7315643,83100,1.0
1748960186.7101376,83300,1.0
1748960215.1707103,83500,1.0
1748960229.131522,83600,1.0
1748960299.3789673,84100,1.0
1748960368.7280576,84600,1.0
1748960413.0510387,84900,1.0
1748963547.9391618,85000,1.0
1748963618.6150193,85500,1.0
1748963632.8376238,85600,1.0
1748963661.2666068,85800,1.0
1748963688.2054048,86000,1.0
1748963758.0554545,86500,1.0
1748963772.3888025,86600,1.0
1748963786.9313016,86700,1.0
1748963814.5446436,86900,1.0
1748963842.8007154,87100,1.0
1748963872.515253,87300,1.0
1748967089.454457,87600,1.0
1748967103.4054105,87700,1.0
1748967187.4582655,88300,1.0
1748967200.7823856,88400,1.0
1748967228.8860168,88600,1.0
1748967258.3987687,88800,1.0
1748967287.3099852,89000,1.0
1748967301.093724,89100,1.0
1748967353.598684,89500,1.0
1748967409.0927777,89900,1.0
1748970562.6002886,90000,1.0
1748970575.8011303,90100,1.0
1748970589.2707894,90200,1.0
1748970618.362688,90400,1.0
1748970744.5749059,91300,1.0
1748970758.38846,91400,1.0
1748970801.1456456,91700,1.0
1748970856.9312005,92100,1.0
1748970884.5147884,92300,1.0
1748974127.1227865,92900,1.0
1748974141.6303477,93000,1.0
1748974155.8257189,93100,1.0
1748974169.4888873,93200,1.0
1748974197.1109602,93400,1.0
1748974225.4073114,93600,1.0
1748974279.6436377,94000,1.0
1748974307.7202272,94200,1.0
1748974348.476396,94500,1.0
1748974377.1105473,94700,1.0
1748977634.4309707,95500,1.0
1748977718.7716494,96100,1.0
1748977733.263252,96200,1.0
1748977773.6072917,96500,1.0
1748977801.3751402,96700,1.0
1748977841.3939705,97000,1.0
1748977898.4660418,97400,1.0
1748981097.3765426,97600,1.0
1748981112.3079925,97700,1.0
1748981140.614958,97900,1.0
1748981184.1796472,98200,1.0
1748981198.5962086,98300,1.0
1748981213.1236992,98400,1.0
1748981297.9714026,99000,1.0
1748981311.2666378,99100,1.0
1748981351.1591392,99400,1.0
1748981364.8618295,99500,1.0
1748984634.0270705,100300,1.0
1748984648.2352555,100400,1.0
1748984661.846597,100500,1.0
1748984675.8830845,100600,1.0
1748984704.8146417,100800,1.0
1748984733.8954785,101000,1.0
1748984748.7137425,101100,1.0
1748984762.8444686,101200,1.0
1748984902.032416,102200,1.0
1748988109.746298,102500,1.0
1748988124.4500134,102600,1.0
1748988213.0069084,103200,1.0
1748988227.7019494,103300,1.0
1748988270.449805,103600,1.0
1748988285.0626478,103700,1.0
1748988326.7975202,104000,1.0
1748988340.9231741,104100,1.0
1748988369.511055,104300,1.0
1748988397.8406339,104500,1.0
1748988411.7458868,104600,1.0
1748991611.5804408,105100,1.0
1748991625.9472992,105200,1.0
1748991639.8877165,105300,1.0
1748991653.8005168,105400,1.0
1748991667.25997,105500,1.0
1748991680.8021297,105600,1.0
1748991709.7104523,105800,1.0
1748991738.0587797,106000,1.0
1748991767.0835004,106200,1.0
1748991780.6697369,106300,1.0
1748991794.5784135,106400,1.0
1748991807.4549296,106500,1.0
1748991892.5948532,107100,1.0
1748991906.8664792,107200,1.0
1748991920.985684,107300,1.0
1748995133.237318,107500,1.0
1748995273.398528,108500,1.0
1748995302.1917934,108700,1.0
1748995316.5110328,108800,1.0
1748995343.3393543,109000,1.0
1748995425.5819304,109600,1.0
1748995467.0752645,109900,1.0
1748998667.696983,110300,1.0
1748998710.8593292,110600,1.0
1748998740.256549,110800,1.0
1748998754.8040514,110900,1.0
1748998827.7918167,111400,1.0
1748998842.2108924,111500,1.0
1748998856.6178718,111600,1.0
1748998901.050975,111900,1.0
1748998931.8990195,112100,1.0
1748998958.9184487,112300,1.0
1749002198.07326,112900,1.0
1749002226.5351174,113100,1.0
1749002255.5584805,113300,1.0
1749002297.535346,113600,1.0
1749002339.5671718,113900,1.0
1749002367.429769,114100,1.0
1749002395.7103126,114300,1.0
1749002410.2513244,114400,1.0
1749002439.0111024,114600,1.0
1749002467.320758,114800,1.0
1749005690.3286777,115100,1.0
1749005704.6901565,115200,1.0
1749005719.016837,115300,1.0
1749005733.192634,115400,1.0
1749005748.1288736,115500,1.0
1749005763.2427256,115600,1.0
1749005820.2702942,116000,1.0
1749005878.6851022,116400,1.0
1749005935.9354951,116800,1.0
1749005950.0921137,116900,1.0
1749005978.2354343,117100,1.0
1749006005.0374572,117300,1.0
1749009183.2701268,117500,1.0
1749009197.1961029,117600,1.0
1749009268.7989047,118100,1.0
1749009297.0475628,118300,1.0
1749009311.626891,118400,1.0
1749009459.8503447,119400,1.0
1749009488.243437,119600,1.0
1749012680.8890817,120000,1.0
1749012695.5258982,120100,1.0
1749012710.1225173,120200,1.0
1749012739.1479313,120400,1.0
1749012754.0280857,120500,1.0
1749012808.885326,120900,1.0
1749012824.9312913,121000,1.0
1749012853.1243823,121200,1.0
1749012896.6468198,121500,1.0
1749012981.3668637,122100,1.0
1749013025.3488312,122400,1.0
1749016222.6688316,122600,1.0
1749016322.349396,123300,1.0
1749016381.0958858,123700,1.0
1749016410.0399792,123900,1.0
1749016437.3923585,124100,1.0
1749016451.3248756,124200,1.0
1749016465.4423575,124300,1.0
1749016522.6021605,124700,1.0
1749016537.4319327,124800,1.0
1749016551.575789,124900,1.0
1749019713.3941197,125000,1.0
1749019769.2199845,125400,1.0
1749019782.7506783,125500,1.0
1749019809.189506,125700,1.0
1749019822.8259134,125800,1.0
1749019864.3147833,126100,1.0
1749019877.5083413,126200,1.0
1749019932.701602,126600,1.0
1749019946.46301,126700,1.0
1749019975.2681592,126900,1.0
1749020017.2637491,127200,1.0
1749023227.2125704,127500,1.0
1749023241.8312297,127600,1.0
1749023283.4389706,127900,1.0
1749023297.3898623,128000,1.0
1749023311.6155677,128100,1.0
1749023396.2087219,128700,1.0
1749023523.5408294,129600,1.0
1749026726.4542508,130200,1.0
1749026802.2925494,130700,1.0
1749026832.9203577,130900,1.0
1749026848.4025602,131000,1.0
1749026877.3900661,131200,1.0
1749026891.6042888,131300,1.0
1749026906.0970747,131400,1.0
1749026934.5083435,131600,1.0
1749026948.511327,131700,1.0
1749027003.764686,132100,1.0
1749027018.2635748,132200,1.0
1749027032.9237428,132300,1.0
1749030189.968851,132500,1.0
1749030218.0066125,132700,1.0
1749030231.273885,132800,1.0
1749030272.346833,133100,1.0
1749030286.666503,133200,1.0
1749030328.8594358,133500,1.0
1749030343.9242985,133600,1.0
1749030388.2840579,133900,1.0
1749030431.4386914,134200,1.0
1749030458.8385901,134400,1.0
1749030515.7956083,134800,1.0
1749030530.2231882,134900,1.0
1749033667.5506725,135100,1.0
1749033694.452152,135300,1.0
1749033707.8620803,135400,1.0
1749033778.228722,135900,1.0
1749033850.9041152,136400,1.0
